Model,Condition,Accuracy,Macro F1,Macro Recall,Latency (ms),ECE,Brier Score
resnet50,Clean (Baseline),0.0698,0.0298,0.0789,35.43,0.1302,0.8954
resnet50,brightness_low,0.1279,0.0859,0.1404,35.78,0.0975,0.9226
resnet50,brightness_high,0.0581,0.0263,0.0658,36.13,0.1592,0.9224
resnet50,blur_mild,0.1163,0.0724,0.1316,35.6,0.095,0.8913
resnet50,blur_heavy,0.1395,0.08,0.1535,35.57,0.0477,0.8904
resnet50,rotation_45,0.1047,0.047,0.114,35.75,0.0991,0.8927
resnet50,rotation_90,0.093,0.0556,0.1009,35.74,0.1059,0.8879
resnet50,rotation_180,0.0814,0.0414,0.0877,36.02,0.1126,0.8924
resnet50,noise_mild,0.1279,0.0812,0.136,36.51,0.086,0.9009
resnet50,noise_heavy,0.0698,0.0333,0.0789,36.29,0.0722,0.9259
efficientnet_b0,Clean (Baseline),0.1279,0.0709,0.1184,13.74,0.0563,0.8859
efficientnet_b0,brightness_low,0.1395,0.079,0.136,12.93,0.0348,0.9046
efficientnet_b0,brightness_high,0.1279,0.0707,0.1272,13.14,0.0497,0.8969
efficientnet_b0,blur_mild,0.1395,0.0607,0.1404,13.36,0.0865,0.8954
efficientnet_b0,blur_heavy,0.1047,0.0393,0.1053,12.93,0.0342,0.9105
efficientnet_b0,rotation_45,0.1047,0.0586,0.1009,13.3,0.0758,0.8915
efficientnet_b0,rotation_90,0.1512,0.087,0.1535,13.26,0.0135,0.8996
efficientnet_b0,rotation_180,0.1512,0.1015,0.1404,13.4,0.0539,0.8874
efficientnet_b0,noise_mild,0.1163,0.0462,0.1316,13.29,0.0416,0.928
efficientnet_b0,noise_heavy,0.0698,0.0303,0.0746,13.29,0.0166,0.9611
vit_b_16,Clean (Baseline),0.1279,0.0375,0.1096,94.02,0.0225,0.9026
vit_b_16,brightness_low,0.1279,0.0546,0.1228,89.06,0.0481,0.9072
vit_b_16,brightness_high,0.0698,0.0222,0.0614,90.29,0.0632,0.9039
vit_b_16,blur_mild,0.1279,0.0497,0.1096,89.91,0.0182,0.9022
vit_b_16,blur_heavy,0.1163,0.038,0.1009,87.21,0.0102,0.9047
vit_b_16,rotation_45,0.1047,0.0276,0.0921,89.23,0.0383,0.9043
vit_b_16,rotation_90,0.1279,0.0361,0.1096,87.94,0.0129,0.9028
vit_b_16,rotation_180,0.1395,0.0399,0.1228,88.7,0.0261,0.9021
vit_b_16,noise_mild,0.1395,0.0559,0.1228,91.63,0.0137,0.9024
vit_b_16,noise_heavy,0.1279,0.0487,0.1096,89.21,0.0097,0.9019
